"","time_slot","Requested","Completed","Cancelled","No_Car","gap"
"1","Early afternoon",202,135,25,42,33.17
"2","Early evening",1149,238,59,852,79.29
"3","Early morning",336,277,15,44,17.56
"4","Late afternoon",445,164,44,237,63.15
"5","Late evening",526,141,31,354,73.19
"6","Late morning",301,243,24,34,19.27
"7","Night",279,129,0,150,53.76
