"","time_slot","Requested","Completed","Cancelled","No_Car","gap"
"1","Early afternoon",278,163,23,92,41.37
"2","Early evening",326,253,30,43,22.39
"3","Early morning",1116,327,526,263,70.7
"4","Late afternoon",303,180,34,89,40.59
"5","Late evening",227,155,23,49,31.72
"6","Late morning",967,316,406,245,67.32
"7","Night",290,110,24,156,62.07
